Student_ID,Age,Gender,Program,Semester,Exam_Score,Study_Hours_Per_Week,session_id,session_date,session_program,session_semester,status
49975.0,20.0,Male,Social Sciences,2.0,72.26,5.0,SES-2039,2/8/2024,Engineering,4,Present
49975.0,20.0,Male,Social Sciences,2.0,72.26,5.0,SES-2017,3/23/2024,Computer Science,4,Present
49975.0,20.0,Male,Social Sciences,2.0,72.26,5.0,SES-2037,10/16/2023,Computer Science,1,Present
49975.0,20.0,Male,Computer Science,3.0,65.13,8.5,SES-2038,11/27/2023,Social Sciences,2,Present
49975.0,20.0,Male,Computer Science,3.0,65.13,8.5,SES-2041,10/5/2023,Business,2,Present
49974.0,23.0,Male,Computer Science,3.0,65.13,8.5,SES-2031,7/18/2024,Computer Science,8,Present
49974.0,23.0,Male,Computer Science,3.0,65.13,8.5,SES-2012,4/19/2024,Education,5,Present
49974.0,23.0,Male,Computer Science,3.0,65.13,8.5,SES-2003,10/8/2023,Engineering,2,Present
49972.0,22.0,Female,Social Sciences,6.0,67.99,10.5,SES-2012,4/19/2024,Education,5,Absent
49972.0,22.0,Female,Social Sciences,6.0,67.99,10.5,SES-2003,10/8/2023,Engineering,2,Absent
49968.0,23.0,Female,Computer Science,5.0,51.5,7.6,SES-2045,7/4/2024,Education,8,Present
49968.0,23.0,Female,Computer Science,5.0,51.5,7.6,SES-2026,4/19/2024,Business,5,Present
49968.0,23.0,Female,Computer Science,5.0,51.5,7.6,SES-2016,4/12/2024,Social Sciences,6,Present
49968.0,23.0,Female,Computer Science,5.0,51.5,7.6,SES-2037,10/16/2023,Computer Science,1,Absent
49968.0,23.0,Female,Education,1.0,70.64,11.5,SES-2020,3/27/2024,Computer Science,4,Present
49967.0,18.0,Female,Education,1.0,70.64,11.5,SES-2035,11/28/2023,Social Sciences,3,Present
49966.0,22.0,Male,Computer Science,3.0,69.07,10.9,SES-2046,2/11/2024,Computer Science,4,Present
49966.0,22.0,Male,Computer Science,3.0,69.07,10.9,SES-2028,6/25/2024,Computer Science,8,Present
49966.0,22.0,Male,Computer Science,3.0,69.07,10.9,SES-2002,11/2/2023,Computer Science,2,Absent
49965.0,20.0,Male,Computer Science,3.0,69.07,10.9,SES-2035,11/28/2023,Social Sciences,3,Present
49965.0,20.0,Male,Computer Science,3.0,69.07,10.9,SES-2020,3/27/2024,Computer Science,4,Present
49964.0,21.0,Male,Social Sciences,7.0,53.31,5.8,SES-2040,10/24/2023,Business,2,Present
49964.0,21.0,Male,Social Sciences,7.0,53.31,5.8,SES-2047,2/1/2024,Computer Science,4,Present
49963.0,23.0,Male,Social Sciences,7.0,53.31,5.8,SES-2002,11/2/2023,Computer Science,2,Present
49960.0,22.0,Female,Education,5.0,78.17,14.7,SES-2043,5/18/2024,Education,7,Present
49960.0,22.0,Female,Education,5.0,78.17,14.7,SES-2015,11/9/2023,Business,2,Absent
49960.0,22.0,Female,Education,5.0,78.17,14.7,SES-2045,7/4/2024,Education,8,Present
49959.0,22.0,Female,Education,5.0,78.17,14.7,SES-2044,4/22/2024,Social Sciences,5,Present
49959.0,22.0,Male,Engineering,4.0,50.47,7.8,SES-2030,5/13/2024,Business,7,Present
49959.0,22.0,Male,Engineering,4.0,50.47,7.8,SES-2035,11/28/2023,Social Sciences,3,Present
49958.0,19.0,Male,Education,6.0,64.22,7.7,SES-2042,12/17/2023,Engineering,3,Present
49957.0,23.0,Male,Education,6.0,64.22,7.7,SES-2043,5/18/2024,Education,7,Absent
49957.0,23.0,Male,Education,6.0,64.22,7.7,SES-2008,3/4/2024,Computer Science,4,Absent
49957.0,23.0,Male,Education,6.0,64.22,7.7,SES-2004,9/23/2023,Engineering,1,Present
49957.0,23.0,Male,Education,1.0,51.41,8.1,SES-2044,4/22/2024,Social Sciences,5,Present
49956.0,21.0,Male,Education,1.0,51.41,8.1,SES-2019,6/21/2024,Engineering,7,Present
49956.0,21.0,Male,Education,1.0,51.41,8.1,SES-2030,5/13/2024,Business,7,Present
49954.0,19.0,Female,Business,8.0,54.49,10.9,SES-2044,4/22/2024,Social Sciences,5,Absent
49954.0,19.0,Male,Engineering,7.0,70.25,13.6,SES-2012,4/19/2024,Education,5,Present
49954.0,19.0,Male,Engineering,7.0,70.25,13.6,SES-2006,3/25/2024,Education,5,Present
49951.0,20.0,Female,Business,3.0,58.39,4.1,SES-2025,11/24/2023,Engineering,3,Absent
49951.0,20.0,Female,Business,3.0,58.39,4.1,SES-2012,4/19/2024,Education,5,Absent
49951.0,20.0,Female,Business,3.0,58.39,4.1,SES-2011,11/3/2023,Engineering,2,Absent
49950.0,20.0,Female,Business,3.0,58.39,4.1,SES-2040,10/24/2023,Business,2,Present
49946.0,22.0,Female,Engineering,3.0,68.15,8.8,SES-2000,10/24/2023,Social Sciences,2,Present
49946.0,22.0,Female,Engineering,3.0,68.15,8.8,SES-2025,11/24/2023,Engineering,3,Present
49945.0,20.0,Female,Engineering,3.0,68.15,8.8,SES-2044,4/22/2024,Social Sciences,5,Present
49944.0,20.0,Male,Education,6.0,68.98,9.3,SES-2008,3/4/2024,Computer Science,4,Present
49944.0,20.0,Male,Education,6.0,68.98,9.3,SES-2045,7/4/2024,Education,8,Present
49944.0,20.0,Male,Engineering,8.0,64.54,6.4,SES-2010,3/24/2024,Business,5,Absent
49943.0,17.0,Male,Engineering,8.0,64.54,6.4,SES-2000,10/24/2023,Social Sciences,2,Absent
49943.0,17.0,Male,Engineering,8.0,64.54,6.4,SES-2021,2/26/2024,Social Sciences,4,Present
49942.0,21.0,Male,Engineering,8.0,64.54,6.4,SES-2041,10/5/2023,Business,2,Present
49941.0,22.0,Female,Business,1.0,62.82,5.8,SES-2033,11/14/2023,Education,2,Present
49941.0,22.0,Female,Business,1.0,62.82,5.8,SES-2038,11/27/2023,Social Sciences,2,Present
49941.0,22.0,Female,Business,1.0,62.82,5.8,SES-2028,6/25/2024,Computer Science,8,Absent
49941.0,22.0,Female,Business,1.0,62.82,5.8,SES-2006,3/25/2024,Education,5,Present
49941.0,22.0,Female,Business,5.0,72.98,6.8,SES-2026,4/19/2024,Business,5,Present
49940.0,23.0,Female,Business,5.0,72.98,6.8,SES-2018,11/6/2023,Business,3,Present
49938.0,20.0,Male,Social Sciences,6.0,78.65,12.1,SES-2043,5/18/2024,Education,7,Absent
49937.0,20.0,Male,Engineering,4.0,65.92,7.5,SES-2005,5/15/2024,Engineering,7,Present
49937.0,20.0,Male,Engineering,4.0,65.92,7.5,SES-2045,7/4/2024,Education,8,Present
49937.0,20.0,Male,Engineering,4.0,65.92,7.5,SES-2010,3/24/2024,Business,5,Present
49936.0,24.0,Female,Computer Science,1.0,61.22,8.4,SES-2026,4/19/2024,Business,5,Present
49932.0,23.0,Male,Computer Science,7.0,75.12,11.9,SES-2027,4/5/2024,Engineering,6,Present
49932.0,23.0,Male,Computer Science,7.0,75.12,11.9,SES-2001,2/5/2024,Computer Science,4,Present
49932.0,23.0,Male,Computer Science,7.0,75.12,11.9,SES-2041,10/5/2023,Business,2,Present
49932.0,23.0,Male,Computer Science,7.0,75.12,11.9,SES-2000,10/24/2023,Social Sciences,2,Present
49930.0,19.0,Female,Computer Science,5.0,81.24,5.0,SES-2039,2/8/2024,Engineering,4,Absent
49930.0,19.0,Female,Computer Science,5.0,81.24,5.0,SES-2020,3/27/2024,Computer Science,4,Present
49930.0,19.0,Female,Computer Science,5.0,81.24,5.0,SES-2033,11/14/2023,Education,2,Present
49930.0,19.0,Female,Computer Science,5.0,81.24,5.0,SES-2015,11/9/2023,Business,2,Present
49927.0,21.0,Female,Engineering,7.0,77.31,11.9,SES-2043,5/18/2024,Education,7,Present
49927.0,21.0,Female,Engineering,7.0,77.31,11.9,SES-2035,11/28/2023,Social Sciences,3,Present
49926.0,21.0,Female,Engineering,7.0,77.31,11.9,SES-2016,4/12/2024,Social Sciences,6,Present
49926.0,21.0,Female,Engineering,7.0,77.31,11.9,SES-2015,11/9/2023,Business,2,Present
49925.0,22.0,Male,Business,6.0,49.08,10.8,SES-2021,2/26/2024,Social Sciences,4,Absent
49925.0,22.0,Male,Business,6.0,49.08,10.8,SES-2009,5/12/2024,Social Sciences,7,Absent
49925.0,22.0,Male,Business,6.0,49.08,10.8,SES-2015,11/9/2023,Business,2,Absent
49923.0,25.0,Female,Computer Science,7.0,55.61,6.8,SES-2004,9/23/2023,Engineering,1,Present
49923.0,25.0,Female,Computer Science,7.0,55.61,6.8,SES-2025,11/24/2023,Engineering,3,Present
49923.0,25.0,Female,Education,3.0,51.05,10.5,SES-2030,5/13/2024,Business,7,Present
49921.0,26.0,Female,Engineering,8.0,63.67,10.8,SES-2014,3/28/2024,Education,5,Present
49921.0,26.0,Female,Engineering,8.0,63.67,10.8,SES-2016,4/12/2024,Social Sciences,6,Present
49921.0,26.0,Female,Engineering,8.0,63.67,10.8,SES-2042,12/17/2023,Engineering,3,Present
49921.0,26.0,Female,Engineering,8.0,63.67,10.8,SES-2009,5/12/2024,Social Sciences,7,Present
49919.0,20.0,Female,Computer Science,2.0,96.18,14.3,SES-2008,3/4/2024,Computer Science,4,Present
49919.0,20.0,Female,Computer Science,2.0,96.18,14.3,SES-2016,4/12/2024,Social Sciences,6,Present
49915.0,21.0,Male,Social Sciences,1.0,45.54,9.2,SES-2002,11/2/2023,Computer Science,2,Absent
49915.0,21.0,Male,Social Sciences,1.0,45.54,9.2,SES-2035,11/28/2023,Social Sciences,3,Absent
49914.0,24.0,Male,Social Sciences,1.0,45.54,9.2,SES-2031,7/18/2024,Computer Science,8,Absent
49914.0,24.0,Male,Social Sciences,1.0,45.54,9.2,SES-2004,9/23/2023,Engineering,1,Present
49914.0,24.0,Female,Computer Science,2.0,83.21,13.9,SES-2038,11/27/2023,Social Sciences,2,Present
49910.0,23.0,Female,Social Sciences,4.0,52.6,3.9,SES-2013,10/22/2023,Education,2,Present
49908.0,20.0,Female,Social Sciences,4.0,52.6,3.9,SES-2047,2/1/2024,Computer Science,4,Absent
49907.0,23.0,Female,Social Sciences,4.0,52.6,3.9,SES-2010,3/24/2024,Business,5,Absent
49907.0,23.0,Female,Social Sciences,4.0,52.6,3.9,SES-2025,11/24/2023,Engineering,3,Present
49907.0,23.0,Female,Social Sciences,4.0,52.6,3.9,SES-2012,4/19/2024,Education,5,Absent
49906.0,20.0,Male,Engineering,2.0,76.8,11.5,SES-2035,11/28/2023,Social Sciences,3,Present
49905.0,19.0,Male,Computer Science,8.0,65.98,8.7,SES-2048,9/3/2023,Computer Science,1,Present
49905.0,19.0,Male,Computer Science,8.0,65.98,8.7,SES-2014,3/28/2024,Education,5,Present
49904.0,21.0,Female,Education,8.0,84.82,11.5,SES-2045,7/4/2024,Education,8,Present
49904.0,21.0,Female,Education,8.0,84.82,11.5,SES-2004,9/23/2023,Engineering,1,Present
49904.0,21.0,Female,Education,8.0,84.82,11.5,SES-2016,4/12/2024,Social Sciences,6,Present
49903.0,19.0,Female,Education,8.0,84.82,11.5,SES-2041,10/5/2023,Business,2,Present
49903.0,19.0,Female,Business,2.0,55.17,12.5,SES-2038,11/27/2023,Social Sciences,2,Present
49902.0,23.0,Female,Business,2.0,55.17,12.5,SES-2042,12/17/2023,Engineering,3,Absent
49901.0,20.0,Female,Business,2.0,55.17,12.5,SES-2013,10/22/2023,Education,2,Present
49901.0,20.0,Female,Business,2.0,55.17,12.5,SES-2043,5/18/2024,Education,7,Absent
49901.0,20.0,Male,Education,3.0,76.98,12.7,SES-2048,9/3/2023,Computer Science,1,Present
49901.0,20.0,Male,Education,3.0,76.98,12.7,SES-2027,4/5/2024,Engineering,6,Present
49901.0,20.0,Male,Education,3.0,76.98,12.7,SES-2022,6/3/2024,Education,7,Present
49900.0,20.0,Male,Education,3.0,76.98,12.7,SES-2013,10/22/2023,Education,2,Present
49898.0,22.0,Male,Computer Science,1.0,50.82,5.9,SES-2047,2/1/2024,Computer Science,4,Present
49896.0,21.0,Male,Computer Science,1.0,50.82,5.9,SES-2001,2/5/2024,Computer Science,4,Present
49896.0,21.0,Male,Computer Science,1.0,50.82,5.9,SES-2024,6/5/2024,Social Sciences,7,Absent
49896.0,21.0,Male,Computer Science,1.0,50.82,5.9,SES-2005,5/15/2024,Engineering,7,Present
49896.0,21.0,Male,Computer Science,1.0,50.82,5.9,SES-2016,4/12/2024,Social Sciences,6,Present
49895.0,19.0,Female,Business,1.0,63.25,3.5,SES-2018,11/6/2023,Business,3,Absent
49894.0,20.0,Female,Business,1.0,63.25,3.5,SES-2036,2/12/2024,Education,4,Absent
49894.0,20.0,Female,Business,1.0,63.25,3.5,SES-2048,9/3/2023,Computer Science,1,Absent
49894.0,20.0,Female,Social Sciences,2.0,51.14,7.5,SES-2029,10/21/2023,Education,2,Present
49893.0,20.0,Female,Social Sciences,2.0,51.14,7.5,SES-2003,10/8/2023,Engineering,2,Present
49893.0,20.0,Female,Social Sciences,2.0,51.14,7.5,SES-2010,3/24/2024,Business,5,Present
49893.0,20.0,Male,Education,7.0,70.18,7.6,SES-2047,2/1/2024,Computer Science,4,Present
49893.0,20.0,Male,Education,7.0,70.18,7.6,SES-2026,4/19/2024,Business,5,Present
49891.0,19.0,Male,Engineering,6.0,42.76,5.1,SES-2022,6/3/2024,Education,7,Present
49880.0,19.0,Male,Social Sciences,7.0,64.09,5.4,SES-2043,5/18/2024,Education,7,Present
49880.0,19.0,Male,Social Sciences,7.0,64.09,5.4,SES-2023,4/21/2024,Business,6,Present
49878.0,17.0,Male,Business,6.0,69.27,11.9,SES-2048,9/3/2023,Computer Science,1,Present
49878.0,17.0,Male,Business,6.0,69.27,11.9,SES-2043,5/18/2024,Education,7,Present
49877.0,23.0,Male,Business,6.0,69.27,11.9,SES-2040,10/24/2023,Business,2,Present
49877.0,23.0,Male,Education,7.0,52.32,7.7,SES-2004,9/23/2023,Engineering,1,Present
49876.0,22.0,Male,Education,7.0,52.32,7.7,SES-2042,12/17/2023,Engineering,3,Present
49876.0,22.0,Male,Education,7.0,52.32,7.7,SES-2033,11/14/2023,Education,2,Present
49876.0,22.0,Male,Business,2.0,51.78,11.2,SES-2029,10/21/2023,Education,2,Absent
49876.0,22.0,Male,Business,2.0,51.78,11.2,SES-2006,3/25/2024,Education,5,Present
49871.0,20.0,Male,Engineering,8.0,63.32,3.4,SES-2021,2/26/2024,Social Sciences,4,Absent
49871.0,20.0,Male,Engineering,8.0,63.32,3.4,SES-2028,6/25/2024,Computer Science,8,Absent
49871.0,20.0,Male,Engineering,8.0,63.32,3.4,SES-2011,11/3/2023,Engineering,2,Present
49870.0,24.0,Male,Education,3.0,50.63,8.8,SES-2023,4/21/2024,Business,6,Present
49870.0,24.0,Male,Education,7.0,70.64,12.6,SES-2026,4/19/2024,Business,5,Present
49870.0,24.0,Male,Education,7.0,70.64,12.6,SES-2033,11/14/2023,Education,2,Absent
49870.0,24.0,Male,Education,7.0,70.64,12.6,SES-2007,6/9/2024,Education,7,Present
49869.0,19.0,Male,Education,7.0,70.64,12.6,SES-2003,10/8/2023,Engineering,2,Present
49869.0,19.0,Male,Education,7.0,70.64,12.6,SES-2016,4/12/2024,Social Sciences,6,Absent
49868.0,19.0,Male,Computer Science,6.0,45.94,10.9,SES-2032,11/25/2023,Social Sciences,2,Absent
49868.0,19.0,Male,Social Sciences,1.0,50.32,8.5,SES-2005,5/15/2024,Engineering,7,Present
49867.0,22.0,Male,Social Sciences,1.0,50.32,8.5,SES-2035,11/28/2023,Social Sciences,3,Present
49866.0,17.0,Male,Engineering,5.0,71.12,9.0,SES-2032,11/25/2023,Social Sciences,2,Present
49866.0,17.0,Male,Engineering,5.0,71.12,9.0,SES-2024,6/5/2024,Social Sciences,7,Present
49865.0,20.0,Male,Education,7.0,64.61,11.6,SES-2023,4/21/2024,Business,6,Present
49865.0,20.0,Male,Education,7.0,64.61,11.6,SES-2027,4/5/2024,Engineering,6,Present
49864.0,26.0,Male,Education,8.0,89.11,7.8,SES-2041,10/5/2023,Business,2,Present
49864.0,26.0,Male,Education,8.0,89.11,7.8,SES-2034,6/24/2024,Social Sciences,8,Present
49863.0,21.0,Male,Education,8.0,89.11,7.8,SES-2047,2/1/2024,Computer Science,4,Present
49863.0,21.0,Male,Education,8.0,89.11,7.8,SES-2044,4/22/2024,Social Sciences,5,Present
49863.0,21.0,Male,Education,8.0,89.11,7.8,SES-2028,6/25/2024,Computer Science,8,Absent
49862.0,24.0,Female,Engineering,8.0,67.92,8.7,SES-2013,10/22/2023,Education,2,Present
49862.0,24.0,Female,Engineering,8.0,67.92,8.7,SES-2015,11/9/2023,Business,2,Present
49861.0,21.0,Female,Engineering,8.0,67.92,8.7,SES-2016,4/12/2024,Social Sciences,6,Absent
49861.0,21.0,Female,Engineering,8.0,67.92,8.7,SES-2041,10/5/2023,Business,2,Present
49860.0,23.0,Female,Computer Science,7.0,78.8,9.7,SES-2000,10/24/2023,Social Sciences,2,Present
49860.0,23.0,Female,Computer Science,7.0,78.8,9.7,SES-2019,6/21/2024,Engineering,7,Present
49860.0,23.0,Male,Business,7.0,68.18,12.0,SES-2021,2/26/2024,Social Sciences,4,Present
49860.0,23.0,Male,Business,7.0,68.18,12.0,SES-2032,11/25/2023,Social Sciences,2,Present
49858.0,20.0,Female,Business,3.0,66.52,5.9,SES-2028,6/25/2024,Computer Science,8,Present
49858.0,20.0,Female,Business,3.0,66.52,5.9,SES-2011,11/3/2023,Engineering,2,Present
49858.0,20.0,Female,Business,3.0,66.52,5.9,SES-2018,11/6/2023,Business,3,Present
49857.0,17.0,Female,Business,3.0,66.52,5.9,SES-2021,2/26/2024,Social Sciences,4,Present
49857.0,17.0,Female,Computer Science,1.0,63.35,10.2,SES-2009,5/12/2024,Social Sciences,7,Present
49855.0,24.0,Female,Computer Science,1.0,63.35,10.2,SES-2047,2/1/2024,Computer Science,4,Present
49853.0,21.0,Male,Business,4.0,63.56,3.9,SES-2014,3/28/2024,Education,5,Present
49853.0,21.0,Male,Business,4.0,63.56,3.9,SES-2031,7/18/2024,Computer Science,8,Absent
49853.0,21.0,Male,Business,4.0,63.56,3.9,SES-2019,6/21/2024,Engineering,7,Absent
49853.0,21.0,Male,Business,4.0,63.56,3.9,SES-2026,4/19/2024,Business,5,Absent
49852.0,21.0,Female,Business,2.0,42.67,4.8,SES-2015,11/9/2023,Business,2,Present
49852.0,21.0,Female,Business,2.0,42.67,4.8,SES-2026,4/19/2024,Business,5,Absent
49850.0,19.0,Female,Engineering,6.0,54.72,4.8,SES-2000,10/24/2023,Social Sciences,2,Absent
49850.0,19.0,Female,Engineering,6.0,54.72,4.8,SES-2030,5/13/2024,Business,7,Absent
49850.0,19.0,Female,Engineering,6.0,54.72,4.8,SES-2036,2/12/2024,Education,4,Absent
49849.0,24.0,Female,Engineering,6.0,54.72,4.8,SES-2008,3/4/2024,Computer Science,4,Absent
49848.0,22.0,Female,Education,4.0,54.89,5.8,SES-2024,6/5/2024,Social Sciences,7,Present
49848.0,22.0,Female,Education,4.0,54.89,5.8,SES-2021,2/26/2024,Social Sciences,4,Present
49848.0,22.0,Male,Business,5.0,86.45,9.3,SES-2036,2/12/2024,Education,4,Present
49848.0,22.0,Male,Business,5.0,86.45,9.3,SES-2032,11/25/2023,Social Sciences,2,Present
49848.0,22.0,Male,Business,5.0,86.45,9.3,SES-2034,6/24/2024,Social Sciences,8,Present
49847.0,17.0,Male,Business,5.0,86.45,9.3,SES-2037,10/16/2023,Computer Science,1,Present
49846.0,22.0,Male,Engineering,1.0,54.83,8.7,SES-2023,4/21/2024,Business,6,Present
49838.0,23.0,Female,Education,5.0,81.32,9.7,SES-2048,9/3/2023,Computer Science,1,Present
49838.0,23.0,Female,Education,5.0,81.32,9.7,SES-2028,6/25/2024,Computer Science,8,Present
49838.0,23.0,Female,Education,5.0,81.32,9.7,SES-2002,11/2/2023,Computer Science,2,Present
49837.0,22.0,Female,Education,5.0,81.32,9.7,SES-2019,6/21/2024,Engineering,7,Present
49837.0,22.0,Female,Social Sciences,7.0,69.19,8.8,SES-2032,11/25/2023,Social Sciences,2,Present
49837.0,22.0,Female,Social Sciences,7.0,69.19,8.8,SES-2028,6/25/2024,Computer Science,8,Present
49831.0,19.0,Female,Computer Science,4.0,56.59,4.6,SES-2034,6/24/2024,Social Sciences,8,Absent
49828.0,17.0,Male,Engineering,8.0,44.37,11.5,SES-2013,10/22/2023,Education,2,Present
49828.0,17.0,Male,Engineering,8.0,44.37,11.5,SES-2028,6/25/2024,Computer Science,8,Absent
49827.0,21.0,Male,Computer Science,4.0,64.14,14.9,SES-2020,3/27/2024,Computer Science,4,Present
49825.0,21.0,Male,Computer Science,4.0,64.14,14.9,SES-2026,4/19/2024,Business,5,Absent
49825.0,21.0,Male,Computer Science,4.0,64.14,14.9,SES-2027,4/5/2024,Engineering,6,Present
49824.0,18.0,Male,Computer Science,4.0,64.14,14.9,SES-2005,5/15/2024,Engineering,7,Present
49824.0,18.0,Male,Computer Science,4.0,64.14,14.9,SES-2016,4/12/2024,Social Sciences,6,Present
49822.0,23.0,Female,Social Sciences,5.0,67.97,10.6,SES-2025,11/24/2023,Engineering,3,Present
49822.0,23.0,Female,Social Sciences,5.0,67.97,10.6,SES-2024,6/5/2024,Social Sciences,7,Present
49822.0,23.0,Female,Social Sciences,5.0,67.97,10.6,SES-2042,12/17/2023,Engineering,3,Present
49821.0,24.0,Female,Social Sciences,5.0,67.97,10.6,SES-2019,6/21/2024,Engineering,7,Absent
49819.0,22.0,Male,Engineering,7.0,78.6,8.7,SES-2002,11/2/2023,Computer Science,2,Present
49818.0,19.0,Male,Engineering,7.0,78.6,8.7,SES-2025,11/24/2023,Engineering,3,Present
49818.0,19.0,Male,Engineering,7.0,78.6,8.7,SES-2049,4/17/2024,Education,6,Present
49818.0,19.0,Male,Engineering,7.0,78.6,8.7,SES-2042,12/17/2023,Engineering,3,Absent
49818.0,19.0,Male,Engineering,7.0,78.6,8.7,SES-2032,11/25/2023,Social Sciences,2,Present
49815.0,20.0,Female,Education,2.0,73.92,9.2,SES-2035,11/28/2023,Social Sciences,3,Present
49814.0,18.0,Female,Engineering,1.0,75.5,11.4,SES-2028,6/25/2024,Computer Science,8,Absent
49813.0,21.0,Male,Business,2.0,77.93,12.1,SES-2032,11/25/2023,Social Sciences,2,Present
49812.0,21.0,Male,Education,8.0,80.16,10.7,SES-2002,11/2/2023,Computer Science,2,Present
49812.0,21.0,Male,Education,8.0,80.16,10.7,SES-2014,3/28/2024,Education,5,Present
49812.0,21.0,Male,Education,8.0,80.16,10.7,SES-2005,5/15/2024,Engineering,7,Present
49812.0,21.0,Male,Education,8.0,80.16,10.7,SES-2038,11/27/2023,Social Sciences,2,Present
49810.0,23.0,Male,Engineering,4.0,60.93,8.1,SES-2029,10/21/2023,Education,2,Present
49810.0,23.0,Male,Engineering,4.0,60.93,8.1,SES-2028,6/25/2024,Computer Science,8,Present
49809.0,21.0,Male,Engineering,4.0,60.93,8.1,SES-2007,6/9/2024,Education,7,Present
49804.0,20.0,Female,Engineering,4.0,54.39,7.4,SES-2041,10/5/2023,Business,2,Present
49803.0,19.0,Female,Engineering,4.0,54.39,7.4,SES-2000,10/24/2023,Social Sciences,2,Absent
49803.0,19.0,Male,Engineering,8.0,58.04,5.1,SES-2026,4/19/2024,Business,5,Present
49803.0,19.0,Female,Computer Science,5.0,60.84,7.3,SES-2009,5/12/2024,Social Sciences,7,Present
49802.0,17.0,Female,Computer Science,5.0,60.84,7.3,SES-2046,2/11/2024,Computer Science,4,Present
49802.0,17.0,Female,Computer Science,5.0,60.84,7.3,SES-2025,11/24/2023,Engineering,3,Present
49799.0,22.0,Female,Social Sciences,1.0,63.09,9.5,SES-2019,6/21/2024,Engineering,7,Present
49797.0,24.0,Male,Business,7.0,74.91,2.7,SES-2029,10/21/2023,Education,2,Absent
49797.0,24.0,Male,Business,7.0,74.91,2.7,SES-2012,4/19/2024,Education,5,Absent
49797.0,24.0,Male,Business,7.0,74.91,2.7,SES-2049,4/17/2024,Education,6,Present
49796.0,20.0,Male,Business,7.0,74.91,2.7,SES-2047,2/1/2024,Computer Science,4,Present
49795.0,26.0,Male,Business,7.0,74.91,2.7,SES-2024,6/5/2024,Social Sciences,7,Absent
49795.0,26.0,Female,Business,2.0,52.13,7.8,SES-2028,6/25/2024,Computer Science,8,Absent
